asset;index;display_name;index_name;type;OGC_ex_post;category
IFMF:SE0001904798-SEK;CBOE:MSEUERP;ALCUR;Mormngstar Europe Index PR EU;Asset;0,0135394;Alternative
SSF:62022;MSCI:127306P;Storebrand Global All Countries A SEK;MSCI ACVVI COMM SVC INDEX 10-40(Price;Asset;0,0031366;Equity
SSF:66605;MSCI:127306P;SEB Global High Yield Fund C (H-SEK);MSCI ACVVI COMM SVC INDEX 10-40(Price;Asset;0,010591; Interest Bearing
SSF:69692;MSCI:127306P;Storebrand Global Plus A SEK;MSCI ACVVI COMM SVC INDEX 10-40(Price;Asset;0,0040903;Equity
HELF:EVLILLB;NSx:OMRXBONDALL;Evli Nordic Senior Secured Loan B;OMRX Bond All Index;Asset;0,0095;Interest Bearing
IFMF:FI4000439468-SEK;NSx:OMRXBONDALL;Nordea Institutionella Sm IA;OMRX Bond All Index;Asset;0,0025024; Interest Bearing
SSF:61705;NSx:OMRXBONDALL;SEB Kortrantefond SEK A;OMRX Bond All Index;Asset;0,002; Interest Bearing
SSF:71452;NSx:OMRXBONDALL;SEB Företagsobligatlonsfond A;OMRX Bond All Index;Asset;0,007; Interest Bearing
SSF:63982;NSx:OMRXRE;Nordea Realräntefond;OMRX Real Return Bond Index;Asset;0,005;Interest Bearing
SSF:60055;SII:CSNRXSE;SEB Sverigefond Småbolag Chans/Risk A;CSNRXSE;Asset;0,015;Equity
SSF:69898;SII:CSNRXSE;Cliens Småbolag A;CSNRXSE;Asset;0,0136;Equity
SSF:61535;SII:SIXRX;Storebrand Sverige A SEK;SIXRX;Asset;0,0020731;Equity
SSF:69876;SII:SIXRX;Storebrand Sverige Plus A SEK;SIXRX;Asset;0,0030915;Equity
IFMF:LU1646476504-SEK;STUI:DE000SL0AXL3;SCOR ILS Atropos Catb B3 SEK;Solactive SEK Fix Short IG Credit Index;Asset;0,005;Alternative
:OMRXTB;INDEX;OMRX Treasury Bill Index;OMRX Treasury Bill Index;Index;0;Bond Index
CBOE:MSEUERP;INDEX;Mormngstar Europe Index PR EU;Mormngstar Europe Index PR EU;Index;0;Global Equity Index
MSCI:127306P;INDEX;MSCI ACVVI COMM SVC INDEX 10-40(Price;MSCI ACVVI COMM SVC INDEX 10-40(Price;Index;0;Equity
NSx:OMRXBONDALL;INDEX;OMRX Bond All Index;OMRX Bond All Index;Index;0;Interest Bearing Index
NSx:OMRXRE;INDEX;OMRX Real Return Bond Index;OMRX Real Return Bond Index;Index;0;Swedish Interest Bearing Index
SII:CSNRXSE;INDEX;CSNRXSE;CSNRXSE;Index;0;Equity Index
SII:SIXRX;INDEX;SIXRX;SIXRX;Index;0;Equity Index
STUI:DE000SL0AXL3;INDEX;Solactive SEK Fix Short IG Credit Index;Solactwe SEK Fix Short IG Credit Index;Index;0;Global Bond Index
