asset,index,display_name,index_name,type,OGC_ex_post,category,currency,static,history_since
SSF:61705,SFI:OMRXBONDALL,SEB Kortrantefond SEK A,OMRX Bond All Index,Asset,0.002,Interest Bearing,,,1987-10-09
SSF:62768,SFI:OMRXBONDALL,SEB Obligationsfond SEK,OMRX Bond All Index,Asset,0.004,Interest Bearing,,,1987-10-09
SSF:70060,NSx:OMRXREAL,SEB Realräntefond SEK Lux,OMRX Real Return Bond Index,Asset,0.008,Interest Bearing,,,2017-03-06
SSF:60055,SII:CSNRXSE,SEB Sverigefond Småbolag Chans/Risk A,Carnegie Small Cap Net Return,Asset,0.015,Equity,,,1995-04-18
SSF:69694,MSCI:891800PUSD,Storebrand Emerging Markets Plus A,MSCI Emerging Markets Net Index,Asset,0.007,Equity,,,2016-05-31
SSF:62022,MSCI:127306PSEK,Storebrand Global All Countries A SEK,MSCI ACVVI COMM SVC INDEX 10-40(Price SEK),Asset,0.0031366,Equity,,,2000-05-25
SSF:68700,MSCI:127306PSEK,Storebrand Global Low Volatility A SEK,MSCI ACVVI COMM SVC INDEX 10-40(Price SEK),Asset,0.007,Equity,,,2013-10-08
SSF:69692,MSCI:127306PSEK,Storebrand Global Plus A SEK,MSCI ACVVI COMM SVC INDEX 10-40(Price SEK),Asset,0.0040903,Equity,,,2016-04-14
SSF:61535,SII:SIXRX,Storebrand Sverige A SEK,SIX Return Index,Asset,0.0020731,Equity,,,1998-12-23
SSF:69876,SII:SIXRX,Storebrand Sverige Plus A SEK,SIX Return Index,Asset,0.0030915,Equity,,,2016-09-21
SSF:69347,CBOE:MSEUEURP,Swedbank Robur Access Europa A,Morningstar Europe Index PR EU,Asset,0.002,Equity,,,2007-04-24
SSF:69346,SII:SIXRX,Swedbank Robur Access Sverige A,SIX Return Index,Asset,0.002,Equity,,,2007-04-24
IFMF:SE0007074083-SEK,MSCI:984000NIUSD,Swedbank Robur Access USA A,MSCI USA Net Index,Asset,0.002,Equity,,,2007-04-24
SSF:68824,SFI:OMRXBONDALL,Swedbank Robur Corporate Bond Europe A,OMRX Bond All Index,Asset,0.006,Interest Bearing,,,2009-05-26
SSF:70834,MSCI:990100NIUSD,Swedbank Robur Global Impact A,MSCI WORLD TR (Net Index USD),Asset,0.0071,Equity,,,2018-05-29
SSF:61504,SFI:OMRXBONDALL,Swedbank Robur Obligation A,OMRX Bond All Index,Asset,0.003,Interest Bearing,,,1999-03-15
SSF:68825,SFI:OMRXBONDALL,Swedbank Robur Räntefond Kort Plus,OMRX Bond All Index,Asset,0.0021,Interest Bearing,,,1999-11-01
IFMF:SE0017486970-SEK,SII:SIXRX,Swedbank Robur Sverige J,SIX Return Index,Asset,0.0052,Equity,,,2022-05-19
